===================> Part A Before Open Some app :

value			 time			Count PrimeNumber
15000				0.007				1754
25000				0.017				2762
50000				0.066				5133
75000				0.08				7393
90000				0.104				8713
100000				0.15				9592
125000				0.211				11734
175000				0.354				15916
250000				0.558				22044
500000				1.722				41538
700000				2.642				56543
850000				3.628				67617
1000000				4.786				78498





===================> Part C Afther Open Some app :

value			 time			Count PrimeNumber
2				    0.0			    	1
25				    0.000				9
50				    0.0			    	15
100				    0.0			    	25
250			    	0.001				53
500				    0.002				95
750			    	0.001				132
1000				0.002				168
2500				0.016				367
5000				0.052				669
7500				0.157				950
10000				0.247				1229
15000				0.649				1754
25000				1.588				2762
50000				6.663				5133
75000				18.456				7393
90000				22.425				8713
100000				30.835				9592
125000				46.884				11734
175000				90.411				15916
250000				185.967				22044
500000				672.135				41538
700000				1432.986			56543
850000				2014.611			67617
1000000				2459.071			78498

===================> Part D Afther Open Some app:

value  	    	 time			Count PrimeNumber
2				    0.0		    		1
25			    	0.0		    		9
50			       	0.0			    	15
100			    	0.0			    	25
250			    	0.0			    	53
500			    	0.002				95
750			    	0.004				132
1000				0.002				168
2500				0.009				367
5000				0.034				669
7500				0.074				950
10000				0.144				1229
15000				0.371				1754
25000				0.893				2762
50000				4.003				5133
75000				10.153				7393
90000				14.299				8713
100000				17.701				9592
125000				26.653				11734
175000				52.546				15916
250000				106.962				22044
500000				419.797				41538
700000				6668.225			56543
850000				1621.502			67617
1000000				2549.959			78498

===================> Part D :

value			 time			Count PrimeNumber
2				0.0				1
25				0.0				1
50				0.0				1
100				0.0				1
250				0.0				1
500				0.0				1
750				0.0				1
1000				0.0				1
2500				0.0				1
5000				0.0				1
7500				0.0				1
10000				0.0				1
15000				0.0				1
25000				0.0				1
50000				0.0				1
75000				0.0				1
90000				0.0				1
100000				0.0				1
125000				0.0				1
175000				0.0				1
250000				0.0				1
500000				0.0				1
700000				0.0				1
850000				0.0				1
1000000				0.0				1

===================> Part B :

value			 time			Count PrimeNumber
2				0.001				1
25				0.001				1
50				0.001				1
100				0.001				1
250				0.001				1
500				0.001				1
750				0.001				1
1000				0.001				1
2500				0.001				1
5000				0.001				1
7500				0.001				1
10000				0.001				1
15000				0.001				1
25000				0.001				1
50000				0.001				1
75000				0.001				1
90000				0.001				1
100000				0.001				1
125000				0.001				1
175000				0.001				1
250000				0.001				1
500000				0.001				1
700000				0.001				1
850000				0.001				1
1000000				0.001				1

===================> Part C :

value			 time			Count PrimeNumber
2				0.0				1
25				0.0				1
50				0.0				1
100				0.0				1
250				0.0				1
500				0.0				1
750				0.0				1
1000				0.0				1
2500				0.0				1
5000				0.0				1
7500				0.0				1
10000				0.0				1
15000				0.0				1
25000				0.0				1
50000				0.0				1
75000				0.0				1
90000				0.0				1
100000				0.0				1
125000				0.0				1
175000				0.0				1
250000				0.0				1
500000				0.0				1
700000				0.0				1
850000				0.0				1
1000000				0.0				1

===================> Part C :

value			 time			Count PrimeNumber
2				0.0				1
25				0.0				1
50				0.0				1
100				0.0				1
250				0.0				1
500				0.0				1
750				0.0				1
1000				0.0				1
2500				0.0				1
5000				0.0				1
7500				0.0				1
10000				0.0				1
15000				0.0				1
25000				0.0				1
50000				0.0				1
75000				0.0				1
90000				0.0				1
100000				0.0				1
125000				0.0				1
175000				0.0				1
250000				0.0				1
500000				0.0				1
700000				0.0				1
850000				0.0				1
1000000				0.0				1

===================> Part C :

value			 time			Count PrimeNumber
2				0.0				1
25				0.0				1
50				0.0				1
100				0.0				1
250				0.0				1
500				0.0				1
750				0.0				1
1000				0.0				1
2500				0.0				1
5000				0.0				1
7500				0.0				1
10000				0.0				1
15000				0.0				1
25000				0.0				1
50000				0.0				1
75000				0.0				1
90000				0.0				1
100000				0.0				1
125000				0.0				1
175000				0.0				1
250000				0.0				1
500000				0.0				1
700000				0.0				1
850000				0.0				1
1000000				0.0				1

===================> Part C :

value			 time			Count PrimeNumber
2				0.0				1
25				0.0				9
50				0.0				15
100				0.0				25
250				0.0				53
500				0.0				95
750				0.0				132
1000				0.0				168
2500				0.0				367
5000				0.001				669
7500				0.005				950
10000				0.005				1229
15000				0.006				1754
25000				0.026				2762
50000				0.051				5133
75000				0.084				7393
90000				0.164				8713
100000				0.149				9592
125000				0.165				11734
175000				0.344				15916
250000				0.479				22044
500000				1.496				41538
700000				2.38				56543
850000				3.407				67617
1000000				4.321				78498
